0x001, "fflags"
0xB10, "mhpmcounter16"
0xB11, "mhpmcounter17"
0xB12, "mhpmcounter18"
0xB13, "mhpmcounter19"
0xB14, "mhpmcounter20"
0xB15, "mhpmcounter21"
0xB16, "mhpmcounter22"
0xB17, "mhpmcounter23"
0xB18, "mhpmcounter24"
0xB19, "mhpmcounter25"
0xB1A, "mhpmcounter26"
0xB1B, "mhpmcounter27"
0xB1C, "mhpmcounter28"
0xB1D, "mhpmcounter29"
0xB1E, "mhpmcounter30"
0xB1F, "mhpmcounter31"
0x321, "mcyclecfg"
0x322, "minstretcfg"
0x323, "mhpmevent3"
0x324, "mhpmevent4"
0x325, "mhpmevent5"
0x326, "mhpmevent6"
0x327, "mhpmevent7"
0x328, "mhpmevent8"
0x329, "mhpmevent9"
0x32A, "mhpmevent10"
0x32B, "mhpmevent11"
0x32C, "mhpmevent12"
0x32D, "mhpmevent13"
0x32E, "mhpmevent14"
0x32F, "mhpmevent15"
0x330, "mhpmevent16"
0x331, "mhpmevent17"
0x332, "mhpmevent18"
0x333, "mhpmevent19"
0x334, "mhpmevent20"
0x335, "mhpmevent21"
0x336, "mhpmevent22"
0x337, "mhpmevent23"
0x338, "mhpmevent24"
0x339, "mhpmevent25"
0x33A, "mhpmevent26"
0x33B, "mhpmevent27"
0x33C, "mhpmevent28"
0x33D, "mhpmevent29"
0x33E, "mhpmevent30"
0x33F, "mhpmevent31"
0xF11, "mvendorid"
0xF12, "marchid"
0xF13, "mimpid"
0xF14, "mhartid"
0xF15, "mconfigptr"
0xFB0, "mtopi"
